Accuracy,Epoch
84.466,1
91.13,2
93.16600000000001,3
94.462,4
95.566,5
96.152,6
96.758,7
97.076,8
97.408,9
97.68599999999999,10
97.892,11
98.044,12
98.332,13
98.52,14
98.292,15
98.576,16
98.59599999999999,17
98.626,18
98.738,19
98.914,20
